Rank,Nation,Abbreviation,Count,Minutes,List
1,England,eng,181,251153,Frank Lampard Darren Bent Wayne Rooney James Milner Kevin Davies Jermain Defoe Gabby Agbonlahor Ashley Young Steven Gerrard Leighton Baines ...
2,Republic of Ireland,ie,36,51222,Kevin Doyle Richard Dunne Damien Duff Stephen Carr Stephen Hunt Shay Given Rory Delap Glenn Whelan Marc Wilson Andy Reid ...
3,France,fr,27,52503,Nicolas Anelka Florent Malouda Charles N'Zogbia Louis Saha Patrice Evra Julien Faubert Gaël Givet Abou Diaby Steven Nzonzi Bacary Sagna ...
4,Scotland,sct,23,30554,Steven Fletcher Graham Alexander Darren Fletcher James McFadden Barry Ferguson Christophe Berra Craig Gordon Phil Bardsley Kevin McDonald Gary Caldwell ...
5,Wales,wls,16,22970,Craig Bellamy Ryan Giggs James Collins Gareth Bale Boaz Myhill Danny Collins Sam Ricketts Jack Collison David Edwards Aaron Ramsey ...
6,Spain,es,14,18830,Cesc Fàbregas Fernando Torres Carlos Cuéllar Pepe Reina Manuel Almunia Mikel Arteta Míchel Salgado Jordi Gómez Albert Riera Javier Garrido ...
7,Brazil,br,14,14888,Lucas Leiva Heurelho Gomes Denílson Geovanni Alex Anderson Ilan Rafael Robinho Fábio Aurélio ...
8,Netherlands,nl,13,19515,Dirk Kuyt Mario Melchiot John Heitinga Robin van Persie Nigel de Jong George Boateng Jan Vennegoor of Hesselink Edwin van der Sar Ryan Babel Boudewijn Zenden ...
9,Senegal,sn,10,11421,Mohamed Diamé Abdoulaye Faye El Hadji Diouf Salif Diao Ibrahima Sonko Armand Traoré Papa Bouba Diop Diomansy Kamara Habib Beye Mame Biram Diouf
10,United States,us,9,15970,Brad Friedel Tim Howard Clint Dempsey Marcus Hahnemann Jonathan Spector Jozy Altidore Landon Donovan Stuart Holden Eddie Johnson
11,Northern Ireland,nir,9,11659,Aaron Hughes Chris Baird Martin Paterson George McCartney Jonny Evans Michael Duff Maik Taylor David Healy Damien Johnson
12,Nigeria,ng,9,9310,Yakubu Aiyegbeni John Obi Mikel Dickson Etuhu John Utaka Joseph Yobo Seyi Olofinjana Nwankwo Kanu Victor Moses Victor Anichebe
